@relation BOOKKEEPER
@attribute Size numeric
@attribute LocTouched numeric
@attribute LocAdded numeric
@attribute MaxLocAdded numeric
@attribute AvgLocAdded numeric
@attribute nAuth numeric
@attribute nFix numeric
@attribute nR numeric
@attribute ChgSetSize numeric
@attribute Buggy {Si, No}
@data
223,13,12,12,12,1,1,1,4,Si
87,6,5,5,5,1,1,1,4,Si
94,2,1,1,1,1,1,1,3,Si
192,4,3,3,3,1,1,1,0,Si
67,88,88,88,88,1,1,1,5,Si
910,962,945,684,189,3,0,5,44,No
526,168,123,62,20.5,3,0,6,38,Si
325,112,109,63,36.33,1,0,3,25,No
555,176,122,67,17.43,3,0,7,127,Si
165,81,41,13,5.13,2,0,8,117,No
37,60,59,58,29.5,1,0,2,24,No
23,44,44,44,44,1,0,1,11,No
218,131,127,54,25.4,2,0,5,73,No
56,77,77,77,77,1,0,1,11,No
28,47,47,47,47,1,0,1,11,No
25,43,43,43,43,1,0,1,11,No
102,123,123,123,123,1,0,1,11,No
598,693,655,506,131,3,0,5,132,No
1220,792,635,175,37.35,3,0,17,218,Si
906,274,207,93,23,2,0,9,133,Si
304,44,44,11,11,1,0,4,62,No
618,176,121,73,12.1,3,0,10,158,Si
757,662,320,101,24.62,3,0,13,162,No
115,45,16,9,4,2,0,4,80,No
57,28,13,6,4.33,2,0,3,69,No
956,581,327,154,27.25,3,0,12,136,No
447,389,272,153,30.22,3,0,9,142,No
167,94,56,42,18.67,2,0,3,56,No
283,388,203,129,29,3,0,7,153,No
61,168,84,84,42,2,0,2,65,No
130,120,49,25,9.8,3,0,5,124,No
74,102,97,72,24.25,2,0,4,90,No
436,297,128,102,25.6,3,0,5,124,No
75,103,98,72,24.5,2,0,4,90,No
224,119,77,52,15.4,3,0,5,122,No
170,209,127,96,63.5,2,0,2,65,No
234,314,233,143,58.25,2,0,4,90,No
50,75,72,65,36,1,0,2,54,No
131,152,152,129,76,1,0,2,65,No
41,55,37,31,18.5,1,0,2,54,No
29,45,45,45,45,1,0,1,44,No
357,204,186,83,31,3,0,6,91,Si
931,390,304,179,33.78,3,0,9,193,No
