Dataset; #Training; %Training; %DefectTraining; %DefectTesting; Classifier; Balancing; FeatureSelection; TP; FP; TN; FN; Precision; Recall; ROC Area; Kappa
BOOKKEEPER;2;0.57814336;0.46747968;0.06128134;RandomForest;NO SAMPLING;No;482.0;22.0;22.0;192.0;0.9563492063492064;0.7151335311572701;0.651706231454006;0.07667716270461236
BOOKKEEPER;2;0.57814336;0.46747968;0.06128134;NaiveBayes;NO SAMPLING;No;735.0;32.0;34.0;276.0;0.9582790091264668;0.7270029673590505;0.6839837544585319;0.0887724156118145
BOOKKEEPER;2;0.57814336;0.46747968;0.06128134;IBK;OVERSAMPLING;No;227.0;8.0;14.0;110.0;0.9659574468085106;0.6735905044510386;0.6910574588616132;0.09787469653733112
BOOKKEEPER;2;0.57814336;0.46747968;0.06128134;RandomForest;OVERSAMPLING;No;432.0;18.0;26.0;242.0;0.96;0.6409495548961425;0.6608612085244133;0.06861179851520734
BOOKKEEPER;2;0.57814336;0.46747968;0.06128134;NaiveBayes;OVERSAMPLING;No;444.0;18.0;48.0;567.0;0.961038961038961;0.4391691394658754;0.6714698917963013;0.03405406151256329
BOOKKEEPER;2;0.57814336;0.46747968;0.06128134;IBK;UNDERSAMPLING;No;233.0;8.0;14.0;104.0;0.966804979253112;0.6913946587537092;0.6654977070407337;0.1078370462412355
BOOKKEEPER;2;0.57814336;0.46747968;0.06128134;RandomForest;UNDERSAMPLING;No;443.0;19.0;25.0;231.0;0.9588744588744589;0.6572700296735905;0.6631878877798759;0.06933095524492942
BOOKKEEPER;2;0.57814336;0.46747968;0.06128134;NaiveBayes;UNDERSAMPLING;No;692.0;28.0;38.0;319.0;0.9611111111111111;0.6844708209693373;0.687767886580943;0.08502449522214643
BOOKKEEPER;2;0.57814336;0.46747968;0.06128134;IBK;SMOTE;No;234.0;8.0;14.0;103.0;0.9669421487603306;0.6943620178041543;0.6669813865659563;0.10957924608406144
BOOKKEEPER;2;0.57814336;0.46747968;0.06128134;RandomForest;SMOTE;No;489.0;23.0;21.0;185.0;0.955078125;0.7255192878338279;0.6379147558672781;0.07453585504300649
BOOKKEEPER;2;0.57814336;0.46747968;0.06128134;NaiveBayes;SMOTE;No;770.0;35.0;31.0;241.0;0.9565217391304348;0.76162215628091;0.6753439438899379;0.09408086016786431
BOOKKEEPER;3;0.7715322;0.29612222;0.12301587;IBK;NO SAMPLING;Yes;214.0;25.0;6.0;7.0;0.895397489539749;0.9683257918552036;0.6064808057217924;0.21571678661738938
BOOKKEEPER;3;0.7715322;0.29612222;0.12301587;RandomForest;NO SAMPLING;Yes;431.0;52.0;10.0;11.0;0.8923395445134575;0.9751131221719457;0.6955553933732301;0.19057815845824433
BOOKKEEPER;3;0.7715322;0.29612222;0.12301587;NaiveBayes;NO SAMPLING;Yes;651.0;83.0;10.0;12.0;0.8869209809264306;0.9819004524886877;0.6639257853679106;0.13311123986094983
BOOKKEEPER;3;0.7715322;0.29612222;0.12301587;IBK;OVERSAMPLING;Yes;201.0;24.0;7.0;20.0;0.8933333333333333;0.9095022624434389;0.6898992847759451;0.14325452016689807
BOOKKEEPER;3;0.7715322;0.29612222;0.12301587;RandomForest;OVERSAMPLING;Yes;411.0;49.0;13.0;31.0;0.8934782608695652;0.9298642533936652;0.6547584294263611;0.15943962641761197
BOOKKEEPER;3;0.7715322;0.29612222;0.12301587;NaiveBayes;OVERSAMPLING;Yes;628.0;80.0;13.0;35.0;0.8870056497175142;0.947209653092006;0.6499862145023435;0.10984150387025474
BOOKKEEPER;3;0.7715322;0.29612222;0.12301587;IBK;UNDERSAMPLING;Yes;202.0;20.0;11.0;19.0;0.9099099099099099;0.9140271493212669;0.6650853889943074;0.272646536412078
BOOKKEEPER;3;0.7715322;0.29612222;0.12301587;RandomForest;UNDERSAMPLING;Yes;407.0;42.0;20.0;35.0;0.9064587973273942;0.920814479638009;0.6953364472339805;0.25581038582495985
BOOKKEEPER;3;0.7715322;0.29612222;0.12301587;NaiveBayes;UNDERSAMPLING;Yes;533.0;52.0;41.0;130.0;0.9111111111111111;0.803921568627451;0.6588900241651665;0.179916317991632
BOOKKEEPER;3;0.7715322;0.29612222;0.12301587;IBK;SMOTE;Yes;213.0;25.0;6.0;8.0;0.8949579831932774;0.9638009049773756;0.6042183622828784;0.20588235294117668
BOOKKEEPER;3;0.7715322;0.29612222;0.12301587;RandomForest;SMOTE;Yes;427.0;52.0;10.0;15.0;0.8914405010438413;0.9660633484162896;0.6633885564151218;0.17129675076077353
BOOKKEEPER;3;0.7715322;0.29612222;0.12301587;NaiveBayes;SMOTE;Yes;648.0;83.0;10.0;15.0;0.8864569083447332;0.9773755656108597;0.6281726917400542;0.12382033633718885
BOOKKEEPER;3;0.7715322;0.29612222;0.12301587;IBK;NO SAMPLING;No;214.0;25.0;6.0;7.0;0.895397489539749;0.9683257918552036;0.6064808057217924;0.21571678661738938
BOOKKEEPER;3;0.7715322;0.29612222;0.12301587;RandomForest;NO SAMPLING;No;431.0;52.0;10.0;11.0;0.8923395445134575;0.9751131221719457;0.6955553933732301;0.19057815845824433
BOOKKEEPER;3;0.7715322;0.29612222;0.12301587;NaiveBayes;NO SAMPLING;No;651.0;83.0;10.0;12.0;0.8869209809264306;0.9819004524886877;0.6639257853679106;0.13311123986094983
BOOKKEEPER;3;0.7715322;0.29612222;0.12301587;IBK;OVERSAMPLING;No;201.0;24.0;7.0;20.0;0.8933333333333333;0.9095022624434389;0.6898992847759451;0.14325452016689807
