@relation AVRO
@attribute Size numeric
@attribute LocTouched numeric
@attribute LocAdded numeric
@attribute MaxLocAdded numeric
@attribute AvgLocAdded numeric
@attribute nAuth numeric
@attribute nFix numeric
@attribute nR numeric
@attribute ChgSetSize numeric
@attribute Buggy {Si, No}
@data
39,55,55,49,27.5,1,2,2,1,Si
165,6,6,6,6,1,1,1,1,Si
77,93,93,93,93,1,0,1,4,No
9,26,26,26,26,1,1,1,12,Si
194,43,0,0,0,1,1,1,12,Si
71,2,1,1,1,1,1,1,12,Si
26,2,1,1,1,1,1,1,12,Si
8,6,2,2,2,1,1,1,12,Si
36,7,6,6,6,1,1,1,12,Si
25,41,41,41,41,1,1,1,12,Si
836,7,5,3,2.5,2,1,2,25,Si
395,33,16,12,8,1,0,2,24,No
127,4,2,2,2,1,0,1,7,No
180,16,8,4,4,1,0,2,24,Si
157,56,46,46,46,1,0,1,3,No
105,51,38,38,38,1,0,1,3,No
54,14,14,14,14,1,0,1,3,No
94,3,2,2,2,1,0,1,4,No
81,3,2,2,2,1,0,1,4,No
75,5,5,5,5,1,0,1,1,Si
16,32,32,32,32,1,0,1,1,No
88,5,2,2,2,1,0,1,17,Si
90,9,4,4,4,1,0,1,17,Si
124,4,2,2,2,1,0,1,17,No
409,41,24,23,12,2,0,2,40,No
36,52,52,52,52,1,0,1,0,No
138,154,154,154,154,1,0,1,7,No
208,232,232,232,232,1,0,1,23,No
180,203,203,203,203,1,0,1,23,No
213,7,4,4,4,1,0,1,23,Si
194,5,3,3,3,1,0,1,23,Si
68,5,3,3,3,1,0,1,23,No
386,348,336,336,336,1,0,1,23,No
459,2,1,1,1,1,0,1,23,No
138,5,1,1,1,1,0,1,23,No
195,4,2,2,2,1,0,1,23,Si
52,14,14,14,14,1,1,1,10,Si
39,6,4,4,4,1,1,1,10,Si
135,6,3,3,3,1,1,1,10,Si
213,6,3,3,3,1,1,1,10,Si
189,19,7,7,7,1,1,1,10,Si
91,7,5,5,5,1,1,1,10,Si
85,11,3,3,3,1,1,1,10,Si
77,2,2,2,2,1,1,1,10,Si
5,22,22,22,22,1,1,1,10,Si
179,5,2,2,2,1,1,1,10,Si
107,16,14,14,14,1,1,1,10,Si
14,33,33,33,33,1,0,1,3,No
403,24,16,16,16,1,0,1,3,Si
195,3,2,2,2,1,0,1,3,No
461,52,52,52,52,1,0,1,3,Si
249,3,2,2,2,1,0,1,0,No
409,10,8,8,8,1,1,1,3,Si
8,5,4,4,4,1,1,1,3,Si
110,11,7,7,7,1,1,1,3,Si
488,27,27,27,27,1,1,1,3,Si
38,56,56,56,56,1,0,1,12,No
87,104,104,104,104,1,0,1,12,No
44,61,61,61,61,1,0,1,12,No
131,148,148,148,148,1,0,1,12,No
45,66,66,66,66,1,0,1,12,No
70,87,87,87,87,1,0,1,12,No
68,86,86,86,86,1,0,1,12,No
45,72,72,72,72,1,0,1,12,No
37,54,54,54,54,1,0,1,12,No
43,60,60,60,60,1,0,1,12,No
91,151,129,101,64.5,2,0,2,13,No
91,151,129,97,64.5,2,0,2,13,No
81,97,97,97,97,1,0,1,12,No
340,5,4,4,4,1,0,1,2,No
219,19,19,19,19,1,0,1,2,No
164,10,10,10,10,1,0,1,2,Si
348,9,3,3,3,1,0,1,0,No
414,128,95,95,95,1,0,1,19,No
88,21,7,7,7,1,0,1,19,No
226,37,25,25,25,1,0,1,19,No
210,35,28,28,28,1,0,1,19,No
94,2,1,1,1,1,0,1,19,No
96,17,16,16,16,1,0,1,19,No
54,30,29,29,29,1,0,1,19,No
406,10,7,7,7,1,0,1,19,Si
100,7,4,4,4,1,0,1,19,No
24,3,2,2,2,1,0,1,19,No
76,7,4,4,4,1,0,1,19,No
27,3,2,2,2,1,0,1,19,No
180,7,4,4,4,1,0,1,19,No
27,3,2,2,2,1,0,1,19,No
25,3,2,2,2,1,0,1,19,No
71,47,46,46,46,1,0,1,19,No
111,7,4,4,4,1,0,1,19,No
30,3,2,2,2,1,0,1,19,No
179,22,18,18,18,1,0,1,19,No
30,4,2,2,2,1,0,1,19,No
413,10,7,7,7,1,0,1,1,Si
499,11,11,11,11,1,0,1,1,Si
22,3,3,3,3,1,0,1,2,No
487,13,13,13,13,1,0,1,2,Si
71,15,15,15,15,1,0,1,2,No
418,38,25,11,5,1,1,5,34,Si
260,41,38,36,19,1,1,2,27,Si
43,0,0,0,0,1,0,1,0,No
98,117,117,98,58.5,1,0,2,5,No
121,167,30,30,15,1,1,2,30,Si
120,59,49,26,12.25,1,0,4,34,No
307,88,73,55,36.5,1,1,2,31,Si
347,47,23,12,11.5,1,1,2,31,Si
510,63,43,22,10.75,1,1,4,65,Si
277,107,107,107,107,1,0,1,28,No
88,32,23,18,11.5,1,0,2,34,No
132,179,112,54,37.33,1,0,3,59,No
33,21,5,4,2.5,1,0,2,56,No
127,14,5,5,5,1,0,1,28,No
84,40,27,13,9,1,0,3,59,No
25,42,42,42,42,1,0,1,28,No
40,58,58,58,58,1,0,1,28,No
139,160,158,154,79,1,0,2,56,No
44,61,61,61,61,1,0,1,28,No
74,91,91,91,91,1,0,1,28,No
77,93,93,93,93,1,0,1,28,No
63,80,80,80,80,1,0,1,28,No
85,111,106,103,53,1,0,2,54,No
43,59,59,59,59,1,0,1,28,No
68,84,84,84,84,1,0,1,28,No
66,82,82,82,82,1,0,1,28,No
116,132,132,131,66,1,0,2,49,No
86,1,1,1,1,1,0,1,28,No
84,10,7,3,2.33,1,0,3,33,No
106,56,43,41,21.5,1,0,2,54,No
241,17,17,17,17,1,0,1,28,No
87,42,19,19,19,1,1,1,28,Si
185,206,205,204,102.5,1,0,2,54,No
71,96,93,90,31,1,0,3,75,No
40,85,71,59,35.5,1,0,2,56,No
60,25,13,7,6.5,1,0,2,3,No
130,24,12,11,6,1,0,2,3,No
80,99,99,99,99,1,0,1,3,No
71,88,88,88,88,1,0,1,3,No
102,60,54,54,54,1,0,1,3,No
242,72,67,67,67,1,0,1,2,No
35,55,55,55,55,1,0,1,2,No
126,48,48,48,48,1,0,1,2,No
171,84,61,41,20.33,1,1,3,37,Si
55,10,6,6,6,1,0,1,6,No
233,41,24,15,6,2,1,4,50,Si
219,46,28,22,7,1,2,4,37,Si
97,1,1,1,1,1,0,1,6,No
164,32,21,17,7,1,1,3,37,Si
133,199,175,148,58.33,1,1,3,25,Si
246,264,264,264,264,1,0,1,3,No
165,183,183,165,91.5,1,0,2,6,No
60,82,79,58,15.8,1,1,5,54,Si
445,21,19,18,9.5,2,1,2,3,Si
195,2,1,1,1,1,1,1,2,Si
177,13,13,13,13,1,1,1,2,Si
62,2,1,1,1,1,0,1,21,No
55,29,21,21,21,1,0,1,21,No
18,6,6,6,6,1,0,1,21,No
93,1,0,0,0,1,0,1,21,No
158,1,1,1,1,1,0,1,21,No
101,1,1,1,1,1,0,1,21,No
25,1,1,1,1,1,0,1,21,No
77,1,1,1,1,1,0,1,21,No
28,1,1,1,1,1,0,1,21,No
200,22,21,19,7,1,1,3,52,Si
28,1,1,1,1,1,0,1,21,No
26,1,1,1,1,1,0,1,21,No
129,18,18,17,9,1,1,2,26,Si
31,1,1,1,1,1,0,1,21,No
201,26,24,18,8,1,1,3,52,Si
31,1,1,1,1,1,0,1,21,No
83,4,3,3,3,1,0,1,21,No
202,228,133,57,33.25,2,0,4,29,No
13,8,6,6,6,1,0,1,28,No
11,28,28,28,28,1,0,1,28,No
8,25,25,25,25,1,0,1,28,No
21,45,10,10,10,1,0,1,28,No
64,10,3,3,3,1,0,1,28,No
30,55,17,17,17,1,0,1,28,No
118,43,17,17,17,1,0,1,28,No
8,25,25,25,25,1,0,1,28,No
37,4,2,2,2,1,0,1,28,No
44,62,62,62,62,1,0,1,28,No
65,83,83,83,83,1,0,1,28,No
43,60,60,60,60,1,0,1,28,No
47,63,63,63,63,1,0,1,28,No
435,486,469,453,234.5,1,0,2,54,No
134,11,9,8,4.5,1,1,2,32,Si
177,58,18,7,4.5,1,0,4,61,No
82,45,28,22,14,1,0,2,30,No
38,10,4,4,4,1,0,1,28,No
695,117,106,33,13.25,1,1,8,67,Si
127,144,144,144,144,1,0,1,28,No
128,113,77,53,25.67,1,0,3,32,No
63,38,38,38,38,1,0,1,28,No
203,387,246,117,82,2,0,3,8,No
223,739,449,206,149.67,2,0,3,8,No
56,12,8,7,4,1,1,2,31,Si
43,18,15,14,7.5,1,1,2,31,Si
91,4,2,2,2,1,1,1,5,Si
28,46,46,28,23,1,0,2,16,No
31,54,54,54,54,1,0,1,4,No
378,108,73,30,12.17,1,1,6,40,Si
19,2,1,1,1,1,0,1,2,No
1264,314,269,193,67.25,1,2,4,4,Si
210,232,230,220,76.67,2,1,3,18,Si
56,80,79,68,39.5,1,0,2,20,No
157,185,183,155,61,2,1,3,30,Si
