Release; File; Size; LocTouched; LocAdded; MaxLocAdded; AvgLocAdded; Nauth; Nfix; Nr; ChgSetSize; Buggy
1;hedwig-server/src/main/java/org/apache/hedwig/server/persistence/BookkeeperPersistenceManager.java;711;1043;890;736;296.67;2;2;3;468;Si
1;hedwig-server/src/main/java/org/apache/hedwig/server/persistence/CacheKey.java;58;78;76;74;38;2;0;2;376;No
1;hedwig-server/src/main/java/org/apache/hedwig/server/persistence/CacheValue.java;74;100;97;93;32.33;2;0;3;468;No
1;hedwig-server/src/main/java/org/apache/hedwig/server/persistence/Factory.java;6;22;22;22;22;1;0;1;206;No
1;hedwig-server/src/main/java/org/apache/hedwig/server/persistence/LocalDBPersistenceManager.java;411;451;439;426;146.33;2;0;3;468;No
1;hedwig-server/src/main/java/org/apache/hedwig/server/persistence/MapMethods.java;46;62;62;62;62;1;0;1;206;No
1;hedwig-server/src/main/java/org/apache/hedwig/server/persistence/PersistRequest.java;38;60;59;58;29.5;2;0;2;376;No
1;hedwig-server/src/main/java/org/apache/hedwig/server/persistence/PersistenceManager.java;67;101;96;91;48;2;0;2;376;No
1;hedwig-server/src/main/java/org/apache/hedwig/server/persistence/PersistenceManagerWithRangeScan.java;11;29;28;27;14;2;0;2;376;No
1;hedwig-server/src/main/java/org/apache/hedwig/server/persistence/RangeScanRequest.java;49;81;79;77;39.5;2;0;2;376;No
1;hedwig-server/src/main/java/org/apache/hedwig/server/persistence/ReadAheadCache.java;688;780;742;703;247.33;2;0;3;468;Si
1;hedwig-server/src/main/java/org/apache/hedwig/server/persistence/ScanCallback.java;47;71;67;63;33.5;2;0;2;376;No
1;hedwig-server/src/main/java/org/apache/hedwig/server/persistence/ScanCallbackWithContext.java;21;37;37;37;37;1;0;1;206;No
1;hedwig-server/src/main/java/org/apache/hedwig/server/persistence/ScanRequest.java;37;66;65;64;32.5;2;0;2;376;No
1;hedwig-server/src/main/java/org/apache/hedwig/server/proxy/ChannelTracker.java;108;130;127;124;63.5;2;0;2;376;No
1;hedwig-server/src/main/java/org/apache/hedwig/server/proxy/HedwigProxy.java;144;174;167;159;41.75;2;0;4;495;No
1;hedwig-server/src/main/java/org/apache/hedwig/server/proxy/ProxyConfiguration.java;20;46;41;36;20.5;2;0;2;376;No
1;hedwig-server/src/main/java/org/apache/hedwig/server/proxy/ProxyConsumeHandler.java;42;62;60;57;30;2;0;2;298;No
1;hedwig-server/src/main/java/org/apache/hedwig/server/proxy/ProxyPublishHander.java;46;62;62;62;62;1;0;1;206;No
1;hedwig-server/src/main/java/org/apache/hedwig/server/proxy/ProxyStartDeliveryHandler.java;114;154;142;129;35.5;2;0;4;495;No
1;hedwig-server/src/main/java/org/apache/hedwig/server/proxy/ProxyStopDeliveryHandler.java;58;78;76;73;38;2;0;2;298;No
1;hedwig-server/src/main/java/org/apache/hedwig/server/proxy/ProxySubscribeHandler.java;67;89;86;82;28.67;2;0;3;468;Si
1;hedwig-server/src/main/java/org/apache/hedwig/server/proxy/ProxyUnsubscribeHandler.java;58;74;74;74;74;1;0;1;206;No
