Release; File; Size; LocTouched; LocAdded; MaxLocAdded; AvgLocAdded; Nauth; Nfix; Nr; ChgSetSize; Buggy
2;src/test/java/org/apache/avro/io/TestValidatingIO.java;828;677;437;363;218.5;1;0;2;37;No
2;src/test/java/org/apache/avro/TestDataFile.java;125;8;4;4;4;1;0;1;14;No
2;src/test/java/org/apache/avro/TestFsData.java;123;8;3;3;3;1;0;1;14;No
2;src/test/java/org/apache/avro/TestProtocolGeneric.java;176;30;15;9;7.5;1;0;2;25;No
2;src/test/java/org/apache/avro/TestProtocolReflect.java;23;4;2;2;2;1;0;1;14;No
2;src/test/java/org/apache/avro/TestProtocolSpecific.java;151;16;8;7;4;1;0;2;25;Si
2;src/test/java/org/apache/avro/io/TestBinaryDecoder.java;62;20;10;10;10;1;0;1;14;No
2;src/test/java/org/apache/avro/io/TestBlockingIO.java;467;74;45;45;45;1;0;1;14;No
2;src/test/java/org/apache/avro/io/TestResolvingIO_resolving.java;104;120;120;103;60;1;0;2;15;No
2;src/test/java/org/apache/avro/test/TestInvocationReporter.java;19;35;0;0;0;1;0;1;14;No
2;src/test/java/org/apache/avro/test/TestOutputInterceptor.java;25;39;0;0;0;1;0;1;14;No
2;src/test/java/org/apache/avro/test/TestSuiteInterceptor.java;25;39;0;0;0;1;0;1;14;No
2;src/java/org/apache/avro/AvroRuntimeException.java;8;1;1;1;1;1;0;1;60;No
2;src/java/org/apache/avro/AvroTypeException.java;8;1;1;1;1;1;0;1;60;No
2;src/java/org/apache/avro/Protocol.java;311;7;5;3;2.5;1;1;2;61;Si
2;src/java/org/apache/avro/Schema.java;694;70;37;23;9.25;1;1;4;70;Si
2;src/java/org/apache/avro/SchemaParseException.java;8;1;1;1;1;1;0;1;60;No
2;src/java/org/apache/avro/file/DataFileReader.java;200;3;2;2;2;1;0;1;60;No
2;src/java/org/apache/avro/file/DataFileWriter.java;183;16;15;13;7.5;1;0;2;65;No
2;src/java/org/apache/avro/file/SeekableFileInput.java;17;5;4;4;4;1;0;1;60;No
2;src/java/org/apache/avro/file/SeekableInput.java;19;11;6;3;3;1;0;2;67;No
2;src/java/org/apache/avro/generic/GenericArray.java;19;3;2;1;1;1;0;2;82;No
2;src/java/org/apache/avro/generic/GenericData.java;411;178;164;155;54.67;1;0;3;86;Si
2;src/java/org/apache/avro/generic/GenericFixed.java;7;2;1;1;1;1;0;1;60;No
2;src/java/org/apache/avro/generic/GenericRecord.java;7;10;3;2;1.5;1;0;2;82;No
